ipc,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
A01B063,0.01011378,0.426327296,0,0.005694917
A01B069,0.027812895,0.478573288,4.49E-05,0.01589781
A01B079,0.048040455,0.490289771,0.000264767,0.028248839
A01C001,0.01011378,0.451724468,0,0.004574396
A01C021,0.022756005,0.481227114,1.17E-05,0.015811758
A01D034,0.01517067,0.470784572,1.39E-05,0.007935647
A01D041,0.022756005,0.481523801,4.33E-06,0.016506639
A01D046,0.022756005,0.448610916,9.38E-06,0.012339834
A01D075,0.017699115,0.461602604,1.65E-05,0.007661288
A01D101,0.012642225,0.457546342,0,0.006006207
A01F025,0.00505689,0.317492523,0,8.66E-05
A01G007,0.022756005,0.474502798,1.85E-05,0.014180503
A01G009,0.021491783,0.468525258,1.80E-05,0.010851191
A01G015,0.008849558,0.386266867,1.34E-05,0.002994199
A01G022,0.016434893,0.471637443,1.06E-06,0.01108681
A01G025,0.034134008,0.48632105,0.000160698,0.019334627
A01J005,0.008849558,0.445032254,0,0.00608384
A01K001,0.012642225,0.458621025,6.84E-06,0.008642375
A01K005,0.016434893,0.472207742,3.92E-06,0.010352613
A01K011,0.022756005,0.46379549,2.01E-05,0.013721752
A01K023,0.008849558,0.419233283,0,0.004976117
A01K029,0.04551201,0.488144753,0.000168551,0.03114701
A01K061,0.022756005,0.476529351,1.92E-05,0.014165512
A01K063,0.01517067,0.459430356,3.22E-06,0.009837952
A01M001,0.02022756,0.465453877,3.86E-06,0.014085426
A01M007,0.022756005,0.465176656,7.51E-05,0.010861899
A01M021,0.027812895,0.479454638,0.000330492,0.013516668
A01M031,0.007585335,0.467403714,0,0.006039162
A23J003,0.011378003,0.455943728,0,0.007294089
A23L033,0.011378003,0.460242549,0,0.009261442
A41B001,0.018963338,0.454088143,0,0.003737123
A41D001,0.031605563,0.475369206,0.000294569,0.011273115
A41D003,0.018963338,0.454088143,0,0.003737123
A41D027,0.022756005,0.457546342,7.19E-05,0.007102846
A41H003,0.011378003,0.468806486,0,0.008106087
A41H043,0.02528445,0.47192242,0.000203841,0.008611956
A42B003,0.013906448,0.384555197,0,0.003917827
A43B003,0.003792668,0.001264223,0,-6.09E-18
A43B007,0.003792668,0.001264223,0,1.45E-17
A43B013,0.007585335,0.466009311,0,0.005233867
A43B017,0.012642225,0.376945756,0,0.003843165
A46B009,0.011378003,0.464623204,5.01E-06,0.005391991
A46B015,0.027812895,0.478866711,2.98E-05,0.017645679
A47C021,0.008849558,0.452509621,0,0.004500529
A47C031,0.02022756,0.47106852,4.38E-05,0.009678886
A47J027,0.01517067,0.455943728,3.44E-05,0.0047311
A47J036,0.032869785,0.473639542,0.007612796,0.014428312
A47L009,0.05562579,0.494636862,0.000124676,0.03200467
A47L011,0.021491783,0.476529351,8.34E-07,0.014499241
A61B001,0.069532238,0.497789424,0.000378019,0.036764212
A61B003,0.061946903,0.490289771,0.000997886,0.03335752
A61B005,0.251580278,0.558677829,0.007149234,0.100697461
A61B006,0.093552465,0.502594341,0.00167236,0.050299838
