ipc,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199
A01B063,-0.211878613,0.115075946,0.106776565,0.02310729,0.005064168,-0.341056257,-0.136585623,0.203936294,0.043305013,-0.05103853,0.067426391,0.000579885,0.139784425,0.060038559,-0.067654952,-0.00909357,-0.027268125,0.057272159,0.078678444,-0.104713969,0.115050904,0.227005675,-0.001317172,-0.052560322,-0.15302071,-0.015819326,-0.07757099,-0.256438762,0.094045177,-0.049125262,0.093657292,-0.052177791,0.205042496,-0.211084127,-0.284393549,-0.015894484,0.010595906,0.165087417,0.107926637,-0.131275117,0.025760368,0.134392247,-0.127028227,0.284984052,-0.304892302,-0.017301573,-0.198429346,-0.086319387,0.257555693,-0.084942296,0.159000114,-0.008637423,0.0231425,-0.009095511,-0.149738193,-0.202076539,-0.208153725,-0.000213081,-0.074084178,-0.000725894,-0.029197332,-0.086012885,-0.064380385,0.230739415,0.179871663,-0.002463105,-0.144687638,0.123404235,0.208587229,0.106182769,0.119741738,-0.037862849,0.007298178,0.017896349,0.034834657,-0.121899255,0.032281276,-0.073072232,0.046729248,-0.318937719,0.117405772,0.087816596,-0.095715806,0.047192004,-0.021809472,-0.044061743,-0.201618746,-0.149506882,-0.012210907,-0.006657214,-0.028008319,-0.032265719,0.045583282,0.071219653,-0.184529483,-0.165968195,0.215053305,0.147168681,0.073393129,0.137514323,0.044483453,-0.169023156,-0.185016274,0.049059007,0.006578772,-0.14460592,0.075805508,-0.284207314,-0.211892605,0.197504088,0.001144668,0.027066464,0.256823063,-0.001033259,-0.114893831,0.113473102,-0.150049925,0.212670729,-0.006097799,0.147211254,0.016212957,0.104574546,-0.174008816,-0.030321771,0.030844038,0.025121028,0.007287035,0.052427571,0.093842171,0.174374208,-0.004970997,-0.150522813,0.405337483,-0.1059421,0.035890937,0.197092921,-0.184114486,0.009277327,0.036862087,-0.171356112,0.125040635,-0.054855708,-0.171356514,0.132969633,-0.128536209,-0.08035212,0.135757744,-0.000358379,0.005698882,0.134244427,-0.225460708,0.208646059,-0.021623306,-0.119262867,0.000293122,-0.165176824,0.044392556,-0.168747038,0.055409383,-0.096458025,-0.096531943,0.04428361,-0.153767258,0.045379404,-0.040428169,0.06469845,-0.018385457,-0.10386052,-0.134018421,0.074043982,-0.046581492,-0.004889455,0.020460039,-0.121742442,-0.041079752,-0.06275738,0.082947105,-0.006796731,-0.049259972,0.129648358,0.021127129,0.144524828,0.089254752,0.155478686,0.022244129,-0.004684328,0.094435014,0.214077964,0.015462527,-0.063380927,0.189729527,-0.097839393,0.037631869,0.034444843,0.151418179,0.106980518,-0.28648594,0.016163886,0.108864069
A01B069,-0.18019785,0.083997913,0.085482538,0.051955827,0.048635464,-0.253111511,-0.060161818,0.175874904,0.067906559,-0.106753461,0.111416027,0.007055264,0.11034257,0.052800786,-0.085040286,-0.044629064,-0.048783548,0.065289244,0.062051199,-0.083800465,0.069180027,0.180463821,-0.008872806,-0.040711206,-0.122227013,0.022346342,-0.074440554,-0.216880783,0.128639713,-0.060404591,0.052997965,-0.016543182,0.217883363,-0.169018149,-0.198715508,-0.086875267,-0.003251329,0.111887544,0.056181539,-0.126277357,0.040969588,0.147860587,-0.07394331,0.254353255,-0.245000958,-0.049258236,-0.163429454,-0.070574604,0.214753702,-0.091707133,0.078191519,-0.006701029,0.048396595,0.015654402,-0.143723384,-0.191431016,-0.172478795,-0.019711589,-0.052785602,-0.010453626,-0.055959474,-0.075539447,-0.06210823,0.195461452,0.161547035,-0.000256319,-0.15141803,0.121469669,0.181173101,0.082204253,0.11588461,-0.064215973,0.058096852,0.006198763,0.049527969,-0.098175995,0.023731276,-0.048645083,0.008955552,-0.265265107,0.123199515,0.066181362,-0.058753111,0.022521725,0.001617591,-0.072723009,-0.14974001,-0.083891615,0.010279639,0.017158704,0.007510914,-0.06115545,0.041448657,0.063585803,-0.124146454,-0.147553608,0.196843505,0.144863129,0.039896555,0.088132747,0.031139735,-0.124783337,-0.140353188,0.021512481,-0.017728908,-0.10477145,0.082156315,-0.202462971,-0.163310185,0.162492335,-0.003411096,0.003954409,0.244939715,-0.009015989,-0.088599928,0.066718131,-0.103905462,0.153226867,-0.039155364,0.104715191,0.009049745,0.097642168,-0.1348795,-0.008841596,0.047700133,0.044414461,0.025926866,0.06152923,0.110923745,0.10310445,-0.031198049,-0.100495659,0.317687303,-0.062307771,0.0223381,0.189018354,-0.122272752,-0.003199173,0.072287254,-0.18745175,0.138464555,-0.054573704,-0.118386768,0.06609574,-0.110130355,-0.089601211,0.097653627,0.031940907,0.027679388,0.123149343,-0.18455641,0.169925019,-0.042786274,-0.049562708,-0.009083795,-0.113991566,0.036921613,-0.15812622,0.02671917,-0.087726891,-0.086821228,0.041511681,-0.140856445,0.046221383,-0.021355985,0.035354026,-0.040491186,-0.076424696,-0.123832084,0.072821513,-0.027429549,0.009778362,0.030350482,-0.125505611,-0.076736264,-0.083792642,0.052055553,-0.010812294,-0.005670721,0.049629804,0.003040023,0.085111961,0.057277072,0.118065223,0.000606875,-0.009773308,0.079344034,0.178924039,0.009326188,0.001836251,0.171791434,-0.024490105,0.063488096,0.021570332,0.133136362,0.050909568,-0.233252659,0.032390147,0.120052747
A01B079,-0.10293858,0.04423059,0.04204942,0.03012289,0.02770707,-0.14303064,-0.02976817,0.09680374,0.03229536,-0.06509732,0.06567936,-0.00128942,0.06496849,0.02709621,-0.04452019,-0.02162471,-0.02489163,0.02936664,0.04384277,-0.04333429,0.04484443,0.09788397,0.00381354,-0.02331399,-0.07583151,0.01419395,-0.04768376,-0.11732161,0.07618936,-0.03027267,0.02528069,-0.00934754,0.12163975,-0.09439711,-0.09968904,-0.04939172,-0.00075075,0.06092027,0.02616837,-0.07342446,0.02064765,0.08157126,-0.03368442,0.14114575,-0.13760747,-0.03209907,-0.08254229,-0.03433616,0.11274397,-0.04543712,0.03691889,-0.01301079,0.03330162,0.01301723,-0.08186278,-0.0963687,-0.08516008,-0.01950864,-0.01842172,-0.00208162,-0.03758493,-0.0422356,-0.03820622,0.09944035,0.09430497,-0.00667991,-0.08067263,0.06672573,0.09884313,0.04283727,0.06247763,-0.03382331,0.02941595,-0.00332177,0.02484597,-0.05689507,0.01695356,-0.02563195,0.01645342,-0.1355259,0.06951598,0.03815657,-0.0358615,0.00932533,-0.01109489,-0.03305072,-0.08057862,-0.03520603,0.00345352,0.00944667,-0.00203446,-0.04023453,0.02443354,0.03878098,-0.06910793,-0.08593129,0.09932373,0.08481938,0.02750552,0.05616192,0.0148107,-0.06266677,-0.07044145,0.01760089,-0.00706556,-0.04780549,0.04334193,-0.10914619,-0.09122613,0.09086519,0.00321242,0.00900923,0.13866156,-0.0059242,-0.03936211,0.04029325,-0.05988678,0.0750689,-0.02438782,0.05394268,0.00679079,0.06097065,-0.08065169,-0.00708884,0.03006033,0.020191,0.01442479,0.02967277,0.06487881,0.06056763,-0.01411643,-0.05979173,0.17274371,-0.03689986,0.01811136,0.10278967,-0.06314079,-0.00638859,0.02971633,-0.10853679,0.07192118,-0.02617131,-0.07084211,0.04071278,-0.06105381,-0.05077325,0.05948427,0.01539623,0.01141615,0.0657533,-0.10034906,0.09368411,-0.01984378,-0.02755564,-0.00269451,-0.05798906,0.02545145,-0.08765358,0.01268398,-0.04662761,-0.04552504,0.0173604,-0.0819995,0.02711024,-0.01242248,0.02165179,-0.02378731,-0.03780063,-0.06751518,0.04828238,-0.0110275,0.00805322,0.0097193,-0.06991446,-0.04796937,-0.052382,0.02394506,-0.00467524,0.00327127,0.02359664,0.00018317,0.04601111,0.04442957,0.0688581,0.00294056,-0.00696455,0.04250399,0.09710626,-0.00032922,0.00823264,0.09024012,-0.00703202,0.02918448,0.01179429,0.0658967,0.02843605,-0.12932922,0.01755657,0.06337561
A01C001,-0.191748649,0.094619088,0.084568083,0.037397109,0.04242754,-0.275970846,-0.05556998,0.171409354,0.073308773,-0.135284066,0.126075163,0.004261704,0.121282808,0.061315361,-0.080613338,-0.025799032,-0.051157363,0.056322426,0.080961749,-0.091754995,0.066444203,0.194256917,-0.001523915,-0.040451281,-0.131878614,0.014377158,-0.086391844,-0.213542461,0.13394919,-0.068240501,0.04798479,-0.005387371,0.241844207,-0.169084728,-0.185715511,-0.099689812,0.003157626,0.122163467,0.043236692,-0.121679775,0.034566734,0.159755573,-0.076257527,0.261300355,-0.270014256,-0.078128651,-0.155168578,-0.054804895,0.206951961,-0.095047705,0.064482577,-0.021792753,0.064972736,0.014419485,-0.148319751,-0.187737465,-0.161885113,-0.029565347,-0.04270263,-0.001687755,-0.059971791,-0.089777984,-0.067869604,0.208425701,0.166959524,-0.001472216,-0.155608907,0.130427718,0.175722227,0.080937959,0.109742306,-0.049570713,0.066642322,-3.21e-05,0.042882793,-0.104787342,0.024515403,-0.049740978,0.015317787,-0.254716784,0.125649631,0.075692974,-0.067317188,0.014710574,-0.017607348,-0.077099793,-0.153677151,-0.082140699,0.00233925,0.020702507,-0.004517702,-0.06641674,0.059374649,0.07671725,-0.134216979,-0.159368664,0.18129532,0.162720427,0.043417443,0.103659317,0.028993633,-0.119402319,-0.1300053,0.021401703,-0.015433408,-0.092004433,0.089858472,-0.196734026,-0.157516807,0.182108566,0.011351517,0.004323204,0.237256765,-0.016258819,-0.091299862,0.067219786,-0.104877234,0.148798436,-0.043065924,0.115280457,0.028053016,0.110773623,-0.150311679,-0.013049727,0.058252364,0.041280527,0.016457312,0.072898828,0.119274117,0.107232109,-0.045120645,-0.098191313,0.325441599,-0.074481577,0.039390329,0.198746219,-0.11596591,-0.006237163,0.057298284,-0.205918849,0.137388393,-0.060483817,-0.137579933,0.067936927,-0.108306959,-0.100552268,0.099157982,0.021884615,0.008811428,0.138697058,-0.196446121,0.185788468,-0.036952123,-0.043089055,0.008434064,-0.106710427,0.051013112,-0.170368552,0.030190382,-0.090634398,-0.094855376,0.03944397,-0.156176433,0.047080483,-0.009987396,0.016206235,-0.036520291,-0.073326871,-0.120973796,0.079970934,-0.031595651,0.019700352,0.018432116,-0.121332981,-0.075777188,-0.103260934,0.052985989,-0.015010216,0.007723433,0.046278544,-0.009014538,0.083305359,0.065972328,0.131444782,-0.005910051,-0.016954985,0.074273661,0.179994717,0.006142579,0.01642918,0.167988509,-0.019866472,0.059273265,0.029716484,0.122953482,0.058782365,-0.238277271,0.030796653,0.121042997
A01C021,-0.0887071,0.03586428,0.04262386,0.0232155,0.02256654,-0.12420329,-0.02654835,0.08193307,0.02926027,-0.05768943,0.05661102,0.00150957,0.05352385,0.0240205,-0.03888134,-0.01721912,-0.02103304,0.02993895,0.03759498,-0.03950991,0.04013816,0.08746201,0.00250763,-0.01491495,-0.05739264,0.00922627,-0.03981076,-0.09046295,0.05818545,-0.03055349,0.02098112,-0.01057804,0.10474354,-0.07966363,-0.08300749,-0.0456094,0.00107311,0.05134129,0.02379978,-0.05700058,0.01421049,0.07577673,-0.02951512,0.11869378,-0.12261716,-0.03242388,-0.0720636,-0.03210682,0.09449247,-0.0392517,0.03822071,-0.01019581,0.02586259,0.00958535,-0.0695625,-0.08233832,-0.07319406,-0.01583978,-0.0188185,-0.00858635,-0.02967809,-0.02982808,-0.03242304,0.08258004,0.08063852,-0.00688592,-0.07155557,0.06401904,0.08831525,0.03202662,0.05010387,-0.02266008,0.02682879,-0.00081464,0.01818405,-0.04591102,0.01417762,-0.02865446,0.01103125,-0.11407688,0.05974782,0.03380678,-0.03215175,0.00596965,-0.00259841,-0.03459363,-0.06449324,-0.03347107,0.00910322,0.00811241,0.00206559,-0.03006645,0.02031937,0.02602177,-0.06643468,-0.0686403,0.08395264,0.07277367,0.01652944,0.04379704,0.01414056,-0.05387546,-0.05534712,0.01162801,-0.00132619,-0.04020369,0.03471446,-0.09239588,-0.06960005,0.07559911,0.00417021,0.00394298,0.11430765,0.00053978,-0.04173646,0.03169867,-0.04502601,0.06845535,-0.01636172,0.04519784,0.00918496,0.05471726,-0.07111681,-0.0107023,0.02563227,0.0155125,0.00906385,0.02873864,0.04952145,0.05077576,-0.01093749,-0.05043308,0.14565252,-0.02869933,0.01642367,0.09115131,-0.05738771,-0.00057779,0.03284485,-0.08986517,0.0580273,-0.01786594,-0.05836024,0.0348282,-0.05113502,-0.04351157,0.04289844,0.00950343,0.00594711,0.05970716,-0.08773594,0.07633105,-0.02216197,-0.02416563,-0.00034145,-0.05193949,0.02183343,-0.07897013,0.01031753,-0.03534849,-0.03723706,0.01291713,-0.07002143,0.02550061,-0.00627705,0.01404182,-0.01532738,-0.03379088,-0.05451322,0.04079201,-0.01343407,0.00728387,0.01340852,-0.0527348,-0.04068839,-0.04345141,0.02790577,-0.00267795,-0.00161297,0.02112072,-0.00536061,0.03691639,0.03621044,0.0515944,-0.00314807,-0.00971025,0.0381428,0.07790919,0.00135739,0.00956392,0.07273316,-0.00753568,0.02287029,0.01138134,0.06270511,0.02766179,-0.10853804,0.01513416,0.0509735
A01D034,-0.19773753,0.07310401,0.09731142,0.05826063,0.05114049,-0.2775308,-0.03457496,0.17751816,0.07504236,-0.1229941,0.12914632,-0.01200465,0.11315212,0.06458353,-0.07235345,-0.02623052,-0.0562984,0.04834799,0.09578533,-0.10386928,0.06719486,0.2006236,0.01693124,-0.05285574,-0.14018705,0.02737213,-0.10814635,-0.24285741,0.15181416,-0.09352102,0.047733,-0.03108622,0.24652347,-0.20012197,-0.20441197,-0.08699816,-0.02329536,0.11366158,0.05621781,-0.12565425,0.0545627,0.15070839,-0.09391092,0.2813793,-0.2707096,-0.05502734,-0.17455068,-0.05824147,0.23317927,-0.09858645,0.09221446,0.00682145,0.06738632,0.02868005,-0.15297607,-0.18798092,-0.19150734,-0.00496196,-0.05025556,-0.00804254,-0.06866336,-0.10271651,-0.0616859,0.20883842,0.18878916,-0.00325134,-0.1812571,0.1402092,0.20006295,0.10157237,0.13491297,-0.0693154,0.07349906,0.01433089,0.03510796,-0.11647932,0.03277966,-0.07447863,0.017396,-0.27933702,0.13797036,0.09500281,-0.06895295,0.01601823,0.00184662,-0.06319354,-0.16224901,-0.08815031,0.02134964,0.02067592,0.00564115,-0.06330736,0.04012508,0.09201074,-0.14053135,-0.1706201,0.1895064,0.17052777,0.03515548,0.1081772,0.03349162,-0.11451632,-0.14531946,0.04005122,-0.01240576,-0.08635212,0.09104481,-0.21023753,-0.15155625,0.19733347,-0.00776271,0.01162931,0.28518897,0.00083338,-0.1037759,0.07252452,-0.11454868,0.14874917,-0.0391799,0.1199554,0.01911449,0.1227166,-0.1604432,-0.00868488,0.07092743,0.03484519,0.01222055,0.07507103,0.10966491,0.12266043,-0.0428032,-0.10986117,0.3552576,-0.07014797,0.03755413,0.20014967,-0.12081614,-0.00192297,0.06657763,-0.22565067,0.13954973,-0.03651036,-0.1408045,0.07340149,-0.11790026,-0.0870279,0.1093751,0.03851465,0.01533115,0.14025152,-0.19801535,0.20455496,-0.03847035,-0.02650861,-0.00077032,-0.11451068,0.0434747,-0.17261615,0.00690204,-0.09594016,-0.11355034,0.04920615,-0.16057886,0.05241108,-0.00579129,0.0247433,-0.05234854,-0.07570969,-0.15617764,0.09149347,-0.03614083,0.02052064,0.01150073,-0.14648147,-0.08528218,-0.10055546,0.05842517,-0.02819408,0.01975293,0.05498225,-0.00356467,0.0704869,0.06557708,0.1283744,0.0055832,-0.0249359,0.07223383,0.1818802,-0.01121549,0.01546844,0.17153051,-0.0300326,0.07929211,0.02695127,0.14024827,0.05731525,-0.26500893,0.02980289,0.13150452
A01D041,-0.1566102,0.0636683,0.06616046,0.04428035,0.03900792,-0.21212535,-0.04849822,0.1363114,0.05447311,-0.09341249,0.09548969,-0.00187827,0.09347094,0.03958646,-0.05971459,-0.02796746,-0.03566208,0.05054421,0.05148593,-0.06639389,0.06145776,0.1452479,0.00138757,-0.02931111,-0.11032484,0.02772801,-0.06837801,-0.17469227,0.10557774,-0.05487049,0.04205313,-0.01399394,0.18417457,-0.13873336,-0.14712605,-0.0697376,-0.0064709,0.09664668,0.0406689,-0.10105628,0.04285268,0.12387657,-0.05918092,0.20631202,-0.21379763,-0.05270813,-0.12588456,-0.04944135,0.17297697,-0.07433254,0.04590945,-0.01407159,0.04822327,0.01749772,-0.11458581,-0.1429364,-0.13304532,-0.02566853,-0.03490255,-0.00610056,-0.04313997,-0.05685249,-0.06045763,0.15446645,0.13696305,-0.00878282,-0.12813424,0.10662799,0.14586952,0.06260698,0.08977337,-0.05254073,0.05408856,-0.00684527,0.04394579,-0.0808747,0.02056741,-0.04089145,0.01460849,-0.20268875,0.10127915,0.05429618,-0.04853242,0.01620916,-0.01803808,-0.05239008,-0.11524812,-0.05588851,0.0099456,0.00909692,0.00214634,-0.05859937,0.04465761,0.05455393,-0.11084814,-0.12443752,0.14877428,0.12318846,0.03266453,0.07501541,0.02431672,-0.09144672,-0.1033219,0.01359924,-0.00210714,-0.07846069,0.08017247,-0.15628059,-0.1296165,0.14573719,0.00049974,0.00795107,0.19351475,-0.01518466,-0.06328731,0.05233296,-0.08261671,0.11398066,-0.0343739,0.09293729,0.01790347,0.09105429,-0.12085167,-0.00462392,0.05309358,0.02727823,0.01164645,0.05167726,0.09412169,0.08739244,-0.02917705,-0.08397296,0.25617537,-0.05659121,0.02873195,0.15263692,-0.0914238,-0.00749699,0.04497731,-0.1532272,0.10592508,-0.0378976,-0.1032949,0.05768995,-0.09302849,-0.07241199,0.0812358,0.01949803,0.01517395,0.10292458,-0.15005966,0.13444108,-0.03395148,-0.03104425,-0.00839989,-0.08898242,0.03791301,-0.1291535,0.02223376,-0.06603099,-0.07533169,0.02649537,-0.12522224,0.03341824,-0.01139631,0.0269508,-0.03544079,-0.05715284,-0.10418458,0.05654889,-0.02261405,0.00903225,0.01751347,-0.10181823,-0.06836545,-0.07834377,0.05088712,-0.01395743,-0.00527315,0.03881782,-0.00516769,0.0621106,0.05705461,0.10525832,-0.00361449,-0.00474736,0.06316254,0.13734803,0.0027488,0.00688178,0.13220331,-0.01160719,0.05606164,0.02195682,0.11011337,0.03896451,-0.18638639,0.02536978,0.09062031
A01D046,-0.168282241,0.076303951,0.074974045,0.039172616,0.04280695,-0.234342486,-0.053576924,0.160188705,0.060972605,-0.119827531,0.116625741,0.007999955,0.098554574,0.051567357,-0.073759392,-0.035184629,-0.039585136,0.063389316,0.057012234,-0.079125777,0.068655282,0.166004434,-0.002385989,-0.042233352,-0.118960537,0.01903723,-0.070266046,-0.186424121,0.1138767,-0.058856115,0.038112283,-0.012669485,0.212178588,-0.146228105,-0.164956644,-0.074575432,-0.004898252,0.10956829,0.048428971,-0.118157707,0.036982101,0.134941056,-0.067023404,0.236922428,-0.23694779,-0.060613256,-0.140899524,-0.052989047,0.199225724,-0.079321779,0.051920712,-0.004948711,0.05948516,0.006352028,-0.135305941,-0.167032152,-0.150493026,-0.034290493,-0.043977104,-0.008008195,-0.053100333,-0.063288003,-0.065922946,0.183838859,0.146588311,-0.01538249,-0.137493685,0.114720441,0.163917601,0.063600354,0.08958517,-0.049968384,0.059886407,-0.008630366,0.033259839,-0.091742218,0.022385845,-0.046971697,0.022399895,-0.230650976,0.107399881,0.071713902,-0.052341677,0.018517453,-0.014980135,-0.066980474,-0.128648713,-0.075585686,0.000259869,0.017486079,-0.00441971,-0.063073181,0.047815286,0.058898259,-0.12228743,-0.140738025,0.167751268,0.144255936,0.04031042,0.081472583,0.036702141,-0.112983368,-0.116054706,0.019201633,-0.014389418,-0.084612347,0.084507927,-0.174260974,-0.145469651,0.157276616,0.004577397,0.005865132,0.216817498,-0.01992533,-0.077786729,0.060432915,-0.088576436,0.138010055,-0.036490344,0.100392498,0.015122896,0.105721764,-0.138215452,-0.005467348,0.04706436,0.031178445,0.00736349,0.059387509,0.116662093,0.097583033,-0.024785623,-0.085157417,0.292544305,-0.059314504,0.024507837,0.170663774,-0.105787769,-0.013578747,0.057616044,-0.174665928,0.122133613,-0.054783281,-0.11831028,0.062037308,-0.09651424,-0.080484927,0.093251184,0.021294158,0.004865245,0.118289955,-0.163615525,0.160415873,-0.043988943,-0.042737298,0.001254889,-0.091644563,0.043119468,-0.15162237,0.028466903,-0.08346653,-0.066740148,0.034534279,-0.140379593,0.037208479,-0.014356403,0.024263853,-0.043802857,-0.071969226,-0.111997627,0.057217199,-0.020974636,0.009542246,0.015861176,-0.111907594,-0.071907476,-0.097439021,0.047373947,-0.008562339,-0.001756437,0.04932446,-0.00259598,0.068705775,0.073996365,0.10629259,-0.002803408,-0.004299459,0.069304027,0.161193296,0.013428479,0.01248094,0.149574161,-0.012560399,0.060400531,0.019675493,0.109524414,0.049705304,-0.213342741,0.024684096,0.116867237
A01D075,-0.1072679,0.05272832,0.05673838,0.02869458,0.02789173,-0.15902549,-0.03640956,0.10709307,0.03812304,-0.07959484,0.07403176,-0.00413439,0.07208273,0.03179271,-0.0440622,-0.0197537,-0.02318977,0.04078038,0.04240576,-0.05477396,0.05065594,0.11225789,-0.00131522,-0.02439357,-0.07806481,0.02197695,-0.05158852,-0.12363955,0.08278844,-0.0435227,0.03092891,-0.00837111,0.13252328,-0.10178316,-0.10801508,-0.0480871,-0.00153573,0.06844454,0.03447643,-0.07968941,0.02464603,0.09166395,-0.0450957,0.15424646,-0.1545241,-0.03460127,-0.10162289,-0.03690007,0.1356377,-0.04944924,0.04798301,-0.00614098,0.03926143,0.01352352,-0.08920603,-0.10929007,-0.1016752,-0.01604412,-0.02326875,-0.00320811,-0.02781349,-0.04731995,-0.03698167,0.10775679,0.1000307,-0.00950817,-0.09004048,0.08164607,0.11320279,0.05155376,0.06087112,-0.03188279,0.03781873,0.00203458,0.02683153,-0.06532324,0.01546439,-0.02747687,0.01737466,-0.14998056,0.08064503,0.04407929,-0.04159378,0.01477993,-0.01281136,-0.04462652,-0.08634116,-0.04772964,0.00337974,0.00281055,0.00076774,-0.03414254,0.03161782,0.03825318,-0.07632346,-0.08513651,0.1158385,0.08510578,0.02474679,0.05120957,0.02360587,-0.07077569,-0.07381065,0.01751923,-0.00600092,-0.05838132,0.06203198,-0.12226558,-0.10067824,0.10568382,0.00398184,0.00799944,0.15058821,-0.0013893,-0.05205908,0.04082986,-0.06138969,0.08986072,-0.02759498,0.062427,0.00446372,0.06305006,-0.08317968,-0.00673005,0.03152712,0.01766307,0.0101018,0.03799717,0.06822816,0.06056783,-0.01445004,-0.0618578,0.19121757,-0.0458583,0.02395084,0.11688636,-0.07307322,-0.0082239,0.0330746,-0.11682311,0.08124831,-0.03587713,-0.07016818,0.04661053,-0.07234015,-0.06045287,0.06311492,0.01000828,0.00305408,0.07310372,-0.11117332,0.0977115,-0.02874933,-0.02407636,-0.00563385,-0.06535044,0.03182428,-0.09562857,0.01729767,-0.05373542,-0.05778998,0.02713637,-0.08737365,0.03434065,-0.00870981,0.01746537,-0.02915425,-0.04971632,-0.08149761,0.04096505,-0.02243735,0.00762718,0.00612372,-0.0821969,-0.04874668,-0.0630335,0.03451522,0.00261963,0.00309372,0.03460073,-0.0012185,0.05545393,0.03731037,0.07196832,-0.00272314,-0.00502297,0.04423064,0.10466336,0.00867864,0.00699837,0.10360523,-0.00908115,0.03205049,0.01509458,0.07135098,0.03538032,-0.1414464,0.01466515,0.07279666
A01D101,-0.043638881,0.018940188,0.019573348,0.013945196,0.013172772,-0.070695937,-0.009517086,0.042493489,0.021698352,-0.032732356,0.031626307,0.000989452,0.025888696,0.013472125,-0.022859024,-0.004397023,-0.006469596,0.011909569,0.016782709,-0.018232305,0.023470726,0.051350679,-0.003129418,-0.005404266,-0.02907628,0.005922568,-0.020823509,-0.054871906,0.030057441,-0.018556772,0.012898039,-0.006706902,0.061743446,-0.046102714,-0.049021944,-0.028232461,-2.76e-05,0.025541153,0.013243838,-0.031203587,0.01279459,0.041528828,-0.022511236,0.068121105,-0.071557358,-0.012823233,-0.038479596,-0.014515514,0.059815154,-0.016575713,0.018526875,0.000483464,0.014905972,-0.000155252,-0.038798202,-0.04581105,-0.043332394,-0.011678165,-0.011460208,-0.006356495,-0.016527051,-0.021850219,-0.017884279,0.04466318,0.045442704,-0.005223386,-0.033729006,0.034993969,0.051707685,0.01700197,0.024548296,-0.016317286,0.01089836,-0.000443858,0.015946116,-0.027840093,0.009389788,-0.015480647,0.008910277,-0.069026351,0.029369868,0.016121097,-0.020602824,0.00951575,-0.001986226,-0.014009212,-0.03959078,-0.019460941,0.001583547,0.000913608,-0.004004961,-0.022151038,0.018094745,0.021102125,-0.032732885,-0.041640926,0.048473626,0.036992833,0.010957791,0.027551578,0.010090018,-0.032855574,-0.034035564,0.003396361,-0.003611156,-0.026847538,0.019530462,-0.051543135,-0.046656095,0.044490725,-0.002192684,0.006576674,0.061559111,0.000545602,-0.019991353,0.019755794,-0.030355651,0.033457529,-0.016089555,0.025256505,0.001457922,0.02425915,-0.034620076,-0.007838327,0.017615924,0.010809748,0.00298833,0.012748814,0.027531413,0.022566576,-0.009726492,-0.023624977,0.07780882,-0.016682135,0.003960394,0.044515826,-0.035251938,-0.00524211,0.01371733,-0.053663589,0.033993639,-0.016088259,-0.036983471,0.01754556,-0.028749319,-0.020595441,0.031029733,0.006366917,0.008295083,0.036748346,-0.048556812,0.043494046,-0.013257396,-0.011747891,-0.002261731,-0.031616557,0.007777196,-0.047051437,0.006484984,-0.016217563,-0.026143253,0.009542052,-0.03589616,0.016009102,-0.00722181,0.005040946,-0.016557761,-0.022092704,-0.031351015,0.014109046,-0.002108479,-0.001849465,0.005295227,-0.03265838,-0.016441446,-0.023785496,0.013140624,-0.002492223,-0.003472099,0.009320608,0.001020136,0.021915481,0.014361884,0.034001108,-0.004306468,0.000557853,0.0189324,0.048818011,-0.001255553,0.001868201,0.046734314,-0.003180373,0.015426574,0.005738215,0.030144511,0.014112742,-0.058430739,0.005073634,0.033360031
