ipc,backward_count,FAP,GIN,FIN,top20_count,top20_proportion
A01B063,6.6,0,-0.3,5,0,0.0
A01B069,7.7,4,1.6,10,0,0.0
A01B079,11.61111111,14,4.4,36,2,0.055555556
A01C001,0.0,1,0.3,1,0,0.0
A01C021,25.33333333,3,1.1,9,0,0.0
A01D034,5.333333333,1,0.5,3,1,0.333333333
A01D041,15.0,8,2.1,11,1,0.090909091
A01D046,5.333333333,2,-2.4,12,0,0.0
A01D075,4.666666667,1,0.5,3,0,0.0
A01D101,7.0,0,0.2,2,0,0.0
A01F025,15.5,2,0.8,4,0,0.0
A01G007,5.777777778,3,0.7,9,1,0.111111111
A01G009,13.66666667,2,-0.4,6,3,0.5
A01G015,6.5,1,0.2,2,2,1.0
A01G022,2.666666667,2,0.5,3,0,0.0
A01G025,3.722222222,8,2.4,18,1,0.055555556
A01J005,1.5,1,0.2,2,0,0.0
A01K001,3.666666667,2,0.7,3,0,0.0
A01K005,2.2,2,0.3,5,1,0.2
A01K011,2.833333333,3,0.6,6,2,0.333333333
A01K023,3.0,0,0.1,1,0,0.0
A01K029,2.35,7,1.8,20,6,0.3
A01K061,4.111111111,2,-0.5,9,0,0.0
A01K063,2.0,2,0.6,2,0,0.0
A01M001,2.769230769,3,0.7,13,8,0.615384615
A01M007,2.6,1,0.7,5,0,0.0
A01M021,2.833333333,3,1.2,6,1,0.166666667
A01M031,12.0,0,0.1,1,1,1.0
A23J003,9.4,2,0.9,5,0,0.0
A23L033,3.5,1,0.0,2,2,1.0
A41B001,81.0,0,0.1,1,0,0.0
A41D001,49.5,1,0.4,10,1,0.1
A41D003,81.0,0,0.1,1,0,0.0
A41D027,54.0,1,0.5,3,0,0.0
A41H003,2.5,0,0.0,2,0,0.0
A41H043,43.0,0,0.0,2,0,0.0
A42B003,6.5,3,0.0,6,0,0.0
A43B003,8.0,7,2.1,7,0,0.0
A43B007,8.0,1,0.3,1,0,0.0
A43B013,0.0,1,0.3,1,0,0.0
A43B017,5.0,0,-0.3,1,0,0.0
A46B009,7.0,2,0.7,3,1,0.333333333
A46B015,19.83333333,4,1.4,6,0,0.0
A47C021,16.0,1,0.2,4,0,0.0
A47C031,9.5,3,0.6,8,1,0.125
A47J027,4.428571429,1,-1.3,7,4,0.571428571
A47J036,7.181818182,5,1.3,11,3,0.272727273
A47L009,7.526315789,23,7.4,38,34,0.894736842
A47L011,6.909090909,4,1.1,11,10,0.909090909
A61B001,5.527472527,35,6.9,91,3,0.032967033
A61B003,8.166666667,55,10.6,138,29,0.210144928
A61B005,15.91026827,678,112.2,2162,314,0.145235893
A61B006,10.92610837,127,22.2,406,21,0.051724138
A61B007,11.25,8,1.6,28,2,0.071428571
A61B008,6.682539683,77,13.3,189,12,0.063492063
A61B010,7.588235294,2,0.1,17,4,0.235294118
A61B017,6.231481481,40,13.6,108,78,0.722222222
A61B018,6.68,10,1.1,25,15,0.6
A61B034,20.78074866,70,17.5,187,41,0.219251337
A61B046,36.2,4,1.3,5,0,0.0
A61B050,30.58333333,10,3.2,12,1,0.083333333
A61B090,18.44827586,35,9.7,87,37,0.425287356
A61C005,2.0,0,-0.3,1,1,1.0
A61C007,27.48275862,10,1.3,29,3,0.103448276
A61C009,28.3125,5,1.0,16,1,0.0625
A61C013,29.61538462,4,0.9,13,2,0.153846154
A61C017,13.36363636,9,2.9,11,3,0.272727273
A61C019,5.2,1,0.1,5,0,0.0
A61F002,13.5,10,3.2,30,19,0.633333333
A61F005,58.88888889,1,-0.5,9,2,0.222222222
A61F009,13.0,1,0.2,2,0,0.0
A61G013,36.2,4,1.3,5,0,0.0
A61H001,19.66666667,1,0.3,3,2,0.666666667
A61H003,15.75,0,-0.2,4,1,0.25
A61H009,1.0,1,0.1,3,1,0.333333333
A61H031,1.0,1,0.3,1,1,1.0
A61J007,3.25,4,1.2,4,2,0.5
A61K009,12.4,0,-0.5,5,2,0.4
A61K031,7.2,0,-0.9,5,1,0.2
A61K035,2.888888889,3,0.3,9,4,0.444444444
A61K038,10.41666667,1,-0.6,12,4,0.333333333
A61K039,85.0,0,-0.1,1,0,0.0
A61L002,4.090909091,7,1.7,11,2,0.181818182
A61L027,2.0,0,-0.7,7,0,0.0
A61M001,1.0,4,0.5,9,0,0.0
A61M005,54.0,3,0.8,6,0,0.0
A61M016,23.0,18,5.7,25,1,0.04
A61M021,9.32,11,2.5,25,8,0.32
A61M025,0.142857143,7,2.1,7,0,0.0
A61M060,1.047619048,21,6.3,21,0,0.0
A61N001,30.93684211,38,8.1,95,6,0.063157895
A61N002,3.666666667,6,1.7,15,3,0.2
A61N005,1.924242424,25,6.4,66,7,0.106060606
A61P019,19.66666667,1,0.3,3,0,0.0
A61P035,1.0,0,-0.1,1,0,0.0
A61P037,19.66666667,1,0.3,3,0,0.0
A62C003,3.0,0,-0.1,1,0,0.0
A63B021,119.375,3,0.6,8,3,0.375
A63B022,83.0,3,-0.8,16,2,0.125
A63B023,135.0,6,1.6,8,2,0.25
A63B024,32.67307692,17,3.2,52,7,0.134615385
A63B060,127.5,0,-0.2,2,0,0.0
A63B069,33.5,1,0.2,8,0,0.0
A63B071,38.5,9,3.0,24,5,0.208333333
A63B102,31.0,3,0.7,9,1,0.111111111
A63F001,4.4,2,0.3,5,1,0.2
A63F009,14.76470588,3,-0.7,17,2,0.117647059
A63F011,5.285714286,1,-0.1,7,0,0.0
